UNIT_ID,COMPONENT_LOCATION,HOURS_OIL,Fe (ppm),Cu (ppm),Si (ppm),TBN (mgKOH/g),V100C,BUDGET,HORAS_VIDA_ACTUAL,REMAINING_LIFE
AH2726,MOTOR DIESEL,221,19,3,7,8.4,14.3,15000,1268.0,13732.0
AH2725,MOTOR DIESEL,134,9,0,3,8.3,14.3,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,259,14,1,1,8.3,14.4,15000,5974.0,9026.0
AH2721,MOTOR DIESEL,177,10,1,2,8.9,14.6,15000,14022.0,978.0
AH2729,MOTOR DIESEL,235,14,1,0,8.3,14.3,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,144,10,2,2,7.8,14.0,15000,7138.0,7862.0
AH2719,MOTOR DIESEL,35,4,1,2,9.6,14.4,15000,774.0,14226.0
AH2714,MOTOR DIESEL,93,10,1,1,8.7,14.6,15000,7501.0,7499.0
AH2726,MOTOR DIESEL,377,20,6,9,8.2,14.2,15000,1268.0,13732.0
AH2719,MOTOR DIESEL,177,14,4,5,8.3,13.2,15000,774.0,14226.0
AH2729,MOTOR DIESEL,427,11,2,1,8.3,14.6,15000,9160.0,5840.0
AH2721,MOTOR DIESEL,246,10,2,1,8.5,14.5,15000,14022.0,978.0
AH2714,MOTOR DIESEL,240,11,1,1,8.2,14.4,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,7,3,1,2,9.7,15.3,15000,5974.0,9026.0
AH2719,MOTOR DIESEL,93,8,2,5,9.3,13.6,15000,774.0,14226.0
AH2725,MOTOR DIESEL,332,11,1,2,8.1,13.6,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,268,13,3,1,8.3,14.3,15000,5974.0,9026.0
AH2715,MOTOR DIESEL,110,9,4,1,9.0,14.4,15000,10113.0,4887.0
AH2714,MOTOR DIESEL,174,7,1,1,8.5,14.3,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,53,2,1,2,9.8,14.8,15000,14022.0,978.0
